;Lithium;;Graphite;;Nickel;;Cobalt;Mangnese;Copper;;Final;Assemble
;AUS;Chile;Jixi CHN;Luobei CHN;Sulavesi Ind;Halmahere;Congo;SA;Chile;;Berlin;Shanghai
;;;;;;;;;;;;
x;-15.4506;14.1529;-20.4521;-21.1622;-22.5963;-26.9454;38.9432;35.9007;15.2163;;18.3961;-11.8825
y;-33.0389;37.3561;-23.5551;-24.6034;-37.6067;-34.6545;-18.5471;-14.9046;37.6617;;-4.3825;-19.4158
z;-24.4318;-18.2050;30.8881;29.5641;-15.3208;-0.4597;-8.1633;-20.4009;-16.6514;;39.6179;37.5373
